Property_ID,Buyer_Type,Sales_Channel,Booking_Flag,Quarter_Label,Quarter_Number
PROP000042,"startup founder",direct,1,2025-03-31,1
PROP000043,nri,broker,1,2023-12-31,4
PROP000044,nri,"nri desk",1,2023-12-31,4
PROP000045,"startup founder",broker,1,2023-12-31,4
PROP000046,nri,"nri desk",1,2023-12-31,4
PROP000047,other,broker,1,2024-06-30,2
PROP000048,"startup founder","nri desk",1,2023-09-30,3
PROP000049,cxo,online,1,2023-09-30,3
PROP000050,"startup founder",direct,1,2024-09-30,3
PROP000051,hni,online,1,2024-09-30,3
PROP000052,hni,broker,1,2023-12-31,4
PROP000053,cxo,broker,1,2024-12-31,4
PROP000054,cxo,online,1,2025-03-31,1
PROP000055,nri,direct,1,2023-06-30,2
PROP000056,other,online,1,2023-06-30,2
PROP000057,"startup founder",online,1,2024-09-30,3
PROP000058,cxo,direct,1,2024-03-31,1
PROP000059,nri,direct,1,2023-09-30,3
PROP000060,"startup founder",direct,1,2023-06-30,2
PROP000061,other,broker,1,2024-12-31,4
PROP000062,other,online,1,2024-03-31,1
PROP000063,nri,online,1,2023-09-30,3
PROP000064,other,broker,1,2023-12-31,4
PROP000065,"startup founder",direct,1,2024-09-30,3
PROP000066,hni,direct,1,2023-09-30,3
PROP000067,"startup founder",broker,1,2024-06-30,2
PROP000068,hni,broker,1,2023-06-30,2
PROP000069,hni,"nri desk",1,2024-09-30,3
PROP000070,"startup founder",broker,1,2025-03-31,1
PROP000071,nri,online,1,2024-06-30,2
PROP000072,nri,online,1,2023-09-30,3
PROP000073,other,online,1,2023-09-30,3
PROP000074,other,online,1,2024-03-31,1
PROP000075,"startup founder","nri desk",1,2023-06-30,2
PROP000076,hni,direct,1,2024-12-31,4
PROP000077,hni,"nri desk",1,2024-06-30,2
PROP000078,hni,"nri desk",1,2024-09-30,3
PROP000079,hni,broker,1,2025-03-31,1
PROP000080,other,direct,1,2023-12-31,4
PROP000081,cxo,online,1,2024-12-31,4
PROP000082,nri,"nri desk",1,2024-03-31,1
PROP000083,"startup founder","nri desk",1,2023-06-30,2
PROP000084,cxo,online,1,2024-03-31,1
PROP000085,cxo,direct,1,2025-03-31,1
PROP000086,nri,broker,1,2023-09-30,3
PROP000087,other,online,1,2023-12-31,4
PROP000088,"startup founder",direct,1,2024-09-30,3
PROP000089,"startup founder",broker,1,2025-03-31,1
PROP000090,hni,broker,1,2025-03-31,1
PROP000091,"startup founder",broker,1,2025-03-31,1
PROP000092,other,online,1,2024-03-31,1
PROP000093,hni,online,1,2024-03-31,1
PROP000094,cxo,online,1,2025-03-31,1
PROP000095,"startup founder","nri desk",1,2023-09-30,3
PROP000096,nri,direct,1,2024-09-30,3
PROP000097,"startup founder",direct,1,2024-06-30,2
PROP000098,"startup founder","nri desk",1,2024-12-31,4
PROP000099,hni,direct,1,2024-06-30,2
PROP000100,other,online,1,2024-09-30,3
PROP000101,other,broker,1,2024-12-31,4
PROP000102,hni,online,1,2023-06-30,2
PROP000103,hni,"nri desk",1,2025-03-31,1
PROP000104,hni,online,1,2024-12-31,4
PROP000105,other,"nri desk",1,2024-06-30,2
PROP000106,nri,direct,1,2023-09-30,3
PROP000107,hni,direct,1,2024-03-31,1
PROP000108,hni,online,1,2023-09-30,3
PROP000109,nri,"nri desk",1,2024-06-30,2
PROP000110,other,broker,1,2023-12-31,4
PROP000111,nri,broker,1,2024-09-30,3
PROP000112,"startup founder","nri desk",1,2024-06-30,2
PROP000113,hni,broker,1,2024-09-30,3
PROP000114,cxo,online,1,2024-12-31,4
PROP000115,"startup founder",online,1,2025-03-31,1
PROP000116,hni,"nri desk",1,2024-12-31,4
PROP000117,"startup founder",direct,1,2024-03-31,1
PROP000118,hni,online,1,2024-06-30,2
PROP000119,cxo,broker,1,2023-09-30,3
PROP000120,cxo,online,1,2024-12-31,4
PROP000121,"startup founder","nri desk",1,2024-06-30,2
PROP000122,hni,"nri desk",1,2024-09-30,3
PROP000123,nri,direct,1,2024-06-30,2
PROP000124,nri,online,1,2024-12-31,4
PROP000125,"startup founder",online,1,2023-12-31,4
PROP000126,cxo,broker,1,2023-09-30,3
PROP000127,cxo,broker,1,2024-06-30,2
PROP000128,nri,direct,1,2024-12-31,4
PROP000129,hni,direct,1,2023-06-30,2
PROP000130,other,online,1,2023-06-30,2
PROP000131,hni,broker,1,2023-06-30,2
PROP000132,cxo,"nri desk",1,2024-03-31,1
PROP000133,"startup founder",online,1,2024-06-30,2
PROP000134,other,direct,1,2024-12-31,4
PROP000135,nri,broker,1,2023-09-30,3
PROP000136,cxo,direct,1,2024-09-30,3
PROP000137,other,direct,1,2023-12-31,4
PROP000138,"startup founder",online,1,2024-06-30,2
PROP000139,cxo,broker,1,2025-03-31,1
PROP000140,nri,online,1,2025-03-31,1
PROP000141,cxo,online,1,2023-12-31,4
PROP000142,hni,online,1,2025-03-31,1
PROP000143,other,"nri desk",1,2024-09-30,3
PROP000144,other,broker,1,2023-06-30,2
PROP000145,other,direct,1,2025-03-31,1
PROP000146,"startup founder",direct,1,2024-03-31,1
PROP000147,cxo,"nri desk",1,2024-09-30,3
PROP000148,cxo,"nri desk",1,2023-09-30,3
PROP000149,other,"nri desk",1,2023-09-30,3
PROP000150,nri,broker,1,2023-12-31,4
PROP000151,nri,direct,1,2024-12-31,4
PROP000152,"startup founder","nri desk",1,2024-06-30,2
PROP000153,cxo,"nri desk",1,2024-06-30,2
PROP000154,nri,"nri desk",1,2023-12-31,4
PROP000155,other,direct,1,2023-12-31,4
PROP000156,nri,broker,1,2023-09-30,3
PROP000157,hni,online,1,2024-09-30,3
PROP000158,"startup founder",online,1,2023-06-30,2
PROP000159,hni,"nri desk",1,2023-09-30,3
PROP000160,nri,"nri desk",1,2024-12-31,4
PROP000161,cxo,direct,1,2024-09-30,3
PROP000162,cxo,"nri desk",1,2023-12-31,4
PROP000163,other,direct,1,2023-12-31,4
PROP000164,hni,direct,1,2023-06-30,2
PROP000165,"startup founder",broker,1,2024-12-31,4
PROP000166,"startup founder","nri desk",1,2024-03-31,1
PROP000167,other,online,1,2023-12-31,4
PROP000168,hni,"nri desk",1,2024-06-30,2
PROP000169,"startup founder",online,1,2024-12-31,4
PROP000170,"startup founder",broker,1,2023-06-30,2
PROP000171,cxo,broker,1,2024-09-30,3
PROP000172,"startup founder",online,1,2025-03-31,1
PROP000173,other,"nri desk",1,2023-12-31,4
PROP000174,"startup founder",direct,1,2024-03-31,1
PROP000175,cxo,direct,1,2023-06-30,2
PROP000176,hni,broker,1,2024-12-31,4
PROP000177,"startup founder",online,1,2024-03-31,1
PROP000178,other,online,1,2023-12-31,4
PROP000179,other,online,1,2023-09-30,3
PROP000180,cxo,online,1,2025-03-31,1
PROP000181,nri,online,1,2024-06-30,2
PROP000182,nri,"nri desk",1,2025-03-31,1
PROP000183,hni,"nri desk",1,2024-09-30,3
PROP000184,cxo,direct,1,2023-06-30,2
PROP000185,other,broker,1,2023-12-31,4
PROP000186,cxo,direct,1,2024-09-30,3
PROP000187,hni,broker,1,2023-09-30,3
PROP000188,cxo,broker,1,2023-09-30,3
PROP000189,other,direct,1,2023-09-30,3
PROP000190,"startup founder",direct,1,2023-09-30,3
PROP000191,cxo,"nri desk",1,2025-03-31,1
PROP000192,hni,"nri desk",1,2023-06-30,2
PROP000193,cxo,direct,1,2023-06-30,2
PROP000194,other,broker,1,2024-06-30,2
PROP000195,"startup founder",online,1,2023-12-31,4
PROP000196,"startup founder",direct,1,2023-06-30,2
PROP000197,"startup founder",online,1,2023-12-31,4
PROP000198,hni,direct,1,2023-09-30,3
PROP000199,nri,"nri desk",1,2024-12-31,4
PROP000200,hni,direct,1,2024-03-31,1
PROP000201,"startup founder",online,1,2023-09-30,3
PROP000202,hni,direct,1,2025-03-31,1
PROP000203,"startup founder",broker,1,2024-12-31,4
PROP000204,"startup founder",broker,1,2023-06-30,2
PROP000205,other,"nri desk",1,2024-06-30,2
PROP000206,cxo,online,1,2023-06-30,2
PROP000207,cxo,broker,1,2023-09-30,3
PROP000208,nri,"nri desk",1,2023-06-30,2
PROP000209,nri,broker,1,2024-06-30,2
PROP000210,other,online,1,2024-03-31,1
PROP000211,other,direct,1,2023-09-30,3
PROP000212,other,"nri desk",1,2023-09-30,3
PROP000213,cxo,"nri desk",1,2024-06-30,2
PROP000214,nri,online,1,2025-03-31,1
PROP000215,nri,direct,1,2025-03-31,1
PROP000216,hni,online,1,2024-03-31,1
PROP000217,"startup founder",online,1,2025-03-31,1
PROP000218,nri,"nri desk",1,2024-09-30,3
PROP000219,nri,"nri desk",1,2025-03-31,1
PROP000220,nri,direct,1,2024-03-31,1
PROP000221,"startup founder",online,1,2023-12-31,4
PROP000222,other,online,1,2024-12-31,4
PROP000223,hni,online,1,2023-09-30,3
PROP000224,hni,online,1,2023-06-30,2
PROP000225,"startup founder",broker,1,2025-03-31,1
PROP000226,hni,online,1,2023-06-30,2
PROP000227,cxo,"nri desk",1,2024-03-31,1
PROP000228,"startup founder","nri desk",1,2023-09-30,3
PROP000229,cxo,broker,1,2025-03-31,1
PROP000230,other,broker,1,2024-09-30,3
PROP000231,hni,"nri desk",1,2024-09-30,3
PROP000232,cxo,online,1,2025-03-31,1
PROP000233,hni,online,1,2023-09-30,3
PROP000234,other,broker,1,2023-06-30,2
PROP000235,"startup founder",online,1,2025-03-31,1
PROP000236,cxo,broker,1,2023-06-30,2
PROP000237,nri,direct,1,2023-06-30,2
PROP000238,"startup founder",online,1,2023-12-31,4
PROP000239,other,broker,1,2024-06-30,2
PROP000240,cxo,broker,1,2025-03-31,1
PROP000241,nri,"nri desk",1,2025-03-31,1
PROP000242,nri,broker,1,2024-03-31,1
PROP000243,hni,direct,1,2024-03-31,1
PROP000244,cxo,direct,1,2024-09-30,3
PROP000245,"startup founder",online,1,2023-09-30,3
PROP000246,"startup founder","nri desk",1,2024-12-31,4
PROP000247,nri,"nri desk",1,2023-06-30,2
PROP000248,nri,online,1,2024-06-30,2
PROP000249,other,direct,1,2024-12-31,4
PROP000250,nri,direct,1,2023-09-30,3
PROP000251,nri,broker,1,2025-03-31,1
PROP000252,other,online,1,2023-06-30,2
PROP000253,cxo,online,1,2023-06-30,2
PROP000254,other,direct,1,2023-09-30,3
PROP000255,cxo,online,1,2024-03-31,1
PROP000256,cxo,online,1,2025-03-31,1
PROP000257,hni,"nri desk",1,2024-03-31,1
PROP000258,hni,direct,1,2024-06-30,2
PROP000259,hni,"nri desk",1,2023-12-31,4
PROP000260,nri,online,1,2024-09-30,3
PROP000261,"startup founder","nri desk",1,2024-09-30,3
PROP000262,"startup founder","nri desk",1,2023-06-30,2
PROP000263,cxo,"nri desk",1,2023-06-30,2
PROP000264,"startup founder",online,1,2023-09-30,3
PROP000265,"startup founder",online,1,2024-12-31,4
PROP000266,nri,"nri desk",1,2024-09-30,3
PROP000267,cxo,broker,1,2024-09-30,3
PROP000268,hni,"nri desk",1,2024-09-30,3
PROP000269,hni,"nri desk",1,2023-06-30,2
PROP000270,hni,broker,1,2024-09-30,3
PROP000271,hni,broker,1,2023-09-30,3
PROP000272,"startup founder",direct,1,2023-12-31,4
PROP000273,other,direct,1,2024-12-31,4
PROP000274,nri,online,1,2024-12-31,4
PROP000275,hni,"nri desk",1,2023-09-30,3
PROP000276,other,broker,1,2024-06-30,2
PROP000277,cxo,direct,1,2023-12-31,4
PROP000278,cxo,direct,1,2024-06-30,2
PROP000279,cxo,"nri desk",1,2024-03-31,1
PROP000280,cxo,"nri desk",1,2024-06-30,2
PROP000281,other,direct,1,2023-09-30,3
PROP000282,hni,direct,1,2024-12-31,4
PROP000283,other,"nri desk",1,2024-09-30,3
PROP000284,"startup founder",direct,1,2024-06-30,2
PROP000285,other,broker,1,2023-06-30,2
PROP000286,hni,direct,1,2024-03-31,1
PROP000287,other,direct,1,2023-09-30,3
PROP000288,cxo,broker,1,2023-12-31,4
PROP000289,cxo,"nri desk",1,2023-09-30,3
PROP000290,cxo,"nri desk",1,2024-06-30,2
PROP000291,nri,"nri desk",1,2024-03-31,1
PROP000292,hni,direct,1,2025-03-31,1
PROP000293,cxo,broker,1,2023-12-31,4
PROP000294,cxo,online,1,2024-12-31,4
PROP000295,other,"nri desk",1,2023-09-30,3
PROP000296,cxo,broker,1,2023-12-31,4
PROP000297,nri,broker,1,2023-09-30,3
PROP000298,"startup founder",direct,1,2024-12-31,4
PROP000299,"startup founder",direct,1,2024-03-31,1
PROP000300,cxo,online,1,2024-03-31,1
PROP000301,hni,broker,1,2025-03-31,1
PROP000302,"startup founder",online,1,2024-12-31,4
PROP000303,nri,"nri desk",1,2024-09-30,3
PROP000304,nri,"nri desk",1,2024-06-30,2
PROP000305,"startup founder","nri desk",1,2023-12-31,4
PROP000306,nri,broker,1,2024-06-30,2
PROP000307,hni,broker,1,2024-03-31,1
PROP000308,cxo,direct,1,2024-06-30,2
PROP000309,nri,online,1,2024-09-30,3
PROP000310,cxo,broker,1,2024-09-30,3
PROP000311,"startup founder",direct,1,2023-06-30,2
PROP000312,other,broker,1,2024-12-31,4
PROP000313,nri,direct,1,2025-03-31,1
PROP000314,other,online,1,2024-12-31,4
PROP000315,"startup founder",online,1,2024-06-30,2
PROP000316,cxo,broker,1,2024-09-30,3
PROP000317,nri,direct,1,2023-09-30,3
PROP000318,hni,online,1,2024-09-30,3
PROP000319,other,direct,1,2023-06-30,2
PROP000320,hni,direct,1,2023-09-30,3
PROP000321,other,broker,1,2024-12-31,4
PROP000322,nri,broker,1,2024-12-31,4
PROP000323,other,"nri desk",1,2024-03-31,1
PROP000324,cxo,"nri desk",1,2024-09-30,3
PROP000325,"startup founder","nri desk",1,2023-12-31,4
PROP000326,cxo,direct,1,2023-06-30,2
PROP000327,hni,direct,1,2024-12-31,4
PROP000328,cxo,broker,1,2023-06-30,2
PROP000329,nri,direct,1,2024-03-31,1
PROP000330,other,"nri desk",1,2023-06-30,2
PROP000331,cxo,"nri desk",1,2024-06-30,2
PROP000332,hni,"nri desk",1,2024-06-30,2
PROP000333,other,"nri desk",1,2024-09-30,3
PROP000334,nri,online,1,2025-03-31,1
PROP000335,nri,online,1,2024-06-30,2
PROP000336,nri,direct,1,2024-09-30,3
PROP000337,other,broker,1,2024-12-31,4
PROP000338,"startup founder",broker,1,2024-03-31,1
PROP000339,cxo,"nri desk",1,2023-06-30,2
PROP000340,cxo,broker,1,2023-12-31,4
PROP000341,hni,online,1,2023-12-31,4
PROP000342,nri,"nri desk",1,2025-03-31,1
PROP000343,hni,direct,1,2023-09-30,3
PROP000344,"startup founder",online,1,2023-12-31,4
PROP000345,"startup founder",online,1,2025-03-31,1
PROP000346,hni,online,1,2024-03-31,1
PROP000347,other,broker,1,2025-03-31,1
PROP000348,other,"nri desk",1,2024-12-31,4
PROP000349,"startup founder",direct,1,2024-06-30,2
PROP000350,nri,broker,1,2024-03-31,1
PROP000351,nri,broker,1,2024-12-31,4
PROP000352,nri,online,1,2023-06-30,2
PROP000353,other,online,1,2023-09-30,3
PROP000354,hni,direct,1,2024-06-30,2
PROP000355,cxo,online,1,2023-12-31,4
PROP000356,cxo,direct,1,2024-09-30,3
PROP000357,nri,broker,1,2024-03-31,1
PROP000358,other,online,1,2023-12-31,4
PROP000359,cxo,"nri desk",1,2024-09-30,3
PROP000360,hni,"nri desk",1,2024-09-30,3
PROP000361,cxo,online,1,2023-12-31,4
PROP000362,"startup founder",direct,1,2024-12-31,4
PROP000363,"startup founder",broker,1,2024-12-31,4
PROP000364,nri,broker,1,2025-03-31,1
PROP000365,nri,online,1,2023-09-30,3
PROP000366,hni,broker,1,2024-06-30,2
PROP000367,"startup founder",online,1,2023-12-31,4
PROP000368,cxo,direct,1,2024-12-31,4
PROP000369,nri,online,1,2024-06-30,2
PROP000370,nri,"nri desk",1,2024-06-30,2
PROP000371,"startup founder",online,1,2023-12-31,4
PROP000372,cxo,direct,1,2023-12-31,4
PROP000373,cxo,"nri desk",1,2024-12-31,4
PROP000374,nri,online,1,2024-06-30,2
PROP000375,other,online,1,2024-03-31,1
PROP000376,cxo,"nri desk",1,2024-03-31,1
PROP000377,"startup founder","nri desk",1,2024-09-30,3
PROP000378,other,broker,1,2024-06-30,2
PROP000379,other,direct,1,2024-03-31,1
PROP000380,nri,broker,1,2025-03-31,1
PROP000381,other,broker,1,2024-09-30,3
PROP000382,hni,direct,1,2023-09-30,3
PROP000383,other,online,1,2023-12-31,4
PROP000384,hni,"nri desk",1,2023-12-31,4
PROP000385,cxo,online,1,2023-06-30,2
PROP000386,other,"nri desk",1,2023-09-30,3
PROP000387,"startup founder","nri desk",1,2023-06-30,2
PROP000388,cxo,online,1,2024-12-31,4
PROP000389,other,direct,1,2023-06-30,2
PROP000390,other,online,1,2023-09-30,3
PROP000391,other,"nri desk",1,2025-03-31,1
PROP000392,nri,"nri desk",1,2023-06-30,2
PROP000393,other,direct,1,2024-09-30,3
PROP000394,hni,direct,1,2024-12-31,4
PROP000395,hni,online,1,2024-06-30,2
PROP000396,cxo,"nri desk",1,2023-09-30,3
PROP000397,cxo,direct,1,2024-12-31,4
PROP000398,"startup founder","nri desk",1,2024-06-30,2
PROP000399,hni,broker,1,2024-12-31,4
PROP000400,nri,direct,1,2025-03-31,1
PROP000401,nri,online,1,2023-09-30,3
PROP000402,hni,"nri desk",1,2024-12-31,4
PROP000403,nri,online,1,2025-03-31,1
PROP000404,"startup founder","nri desk",1,2024-03-31,1
PROP000405,nri,direct,1,2024-06-30,2
PROP000406,nri,online,1,2024-09-30,3
PROP000407,hni,online,1,2024-12-31,4
PROP000408,nri,broker,1,2024-03-31,1
PROP000409,other,broker,1,2023-06-30,2
PROP000410,hni,broker,1,2024-12-31,4
PROP000411,nri,"nri desk",1,2023-09-30,3
PROP000412,other,online,1,2025-03-31,1
PROP000413,nri,direct,1,2023-06-30,2
PROP000414,other,online,1,2023-09-30,3
PROP000415,other,online,1,2024-06-30,2
PROP000416,other,"nri desk",1,2023-09-30,3
PROP000417,hni,online,1,2024-12-31,4
PROP000418,nri,"nri desk",1,2023-06-30,2
PROP000419,other,direct,1,2023-12-31,4
PROP000420,cxo,direct,1,2023-09-30,3
PROP000421,cxo,direct,1,2024-03-31,1
PROP000422,"startup founder",online,1,2024-03-31,1
PROP000423,nri,"nri desk",1,2025-03-31,1
PROP000424,nri,direct,1,2024-06-30,2
PROP000425,hni,"nri desk",1,2023-12-31,4
PROP000426,nri,"nri desk",1,2023-09-30,3
PROP000427,other,online,1,2024-09-30,3
PROP000428,other,broker,1,2024-12-31,4
PROP000429,cxo,broker,1,2023-09-30,3
PROP000430,other,broker,1,2024-03-31,1
PROP000431,hni,online,1,2023-09-30,3
PROP000432,nri,online,1,2024-03-31,1
PROP000433,"startup founder",online,1,2024-12-31,4
PROP000434,"startup founder",broker,1,2024-09-30,3
PROP000435,hni,direct,1,2023-06-30,2
PROP000436,nri,online,1,2023-12-31,4
PROP000437,hni,online,1,2024-03-31,1
PROP000438,hni,online,1,2023-12-31,4
PROP000439,nri,broker,1,2023-06-30,2
PROP000440,hni,"nri desk",1,2024-06-30,2
PROP000441,hni,online,1,2025-03-31,1
PROP000442,"startup founder",broker,1,2023-06-30,2
PROP000443,cxo,"nri desk",1,2024-06-30,2
PROP000444,cxo,online,1,2025-03-31,1
PROP000445,other,direct,1,2023-12-31,4
PROP000446,cxo,"nri desk",1,2025-03-31,1
PROP000447,other,direct,1,2023-09-30,3
PROP000448,hni,broker,1,2023-12-31,4
PROP000449,hni,online,1,2024-09-30,3
PROP000450,other,broker,1,2024-03-31,1
PROP000451,hni,"nri desk",1,2024-03-31,1
PROP000452,hni,broker,1,2024-03-31,1
PROP000453,cxo,broker,1,2024-03-31,1
PROP000454,cxo,"nri desk",1,2023-06-30,2
PROP000455,nri,online,1,2023-09-30,3
PROP000456,nri,broker,1,2023-09-30,3
PROP000457,"startup founder","nri desk",1,2023-12-31,4
PROP000458,cxo,broker,1,2024-03-31,1
PROP000459,hni,"nri desk",1,2023-09-30,3
PROP000460,cxo,"nri desk",1,2023-09-30,3
PROP000461,"startup founder",direct,1,2024-03-31,1
PROP000462,nri,direct,1,2024-12-31,4
PROP000463,other,"nri desk",1,2024-12-31,4
PROP000464,"startup founder",broker,1,2024-06-30,2
PROP000465,cxo,direct,1,2023-09-30,3
PROP000466,nri,broker,1,2024-06-30,2
PROP000467,nri,direct,1,2024-09-30,3
PROP000468,hni,direct,1,2024-06-30,2
PROP000469,"startup founder","nri desk",1,2025-03-31,1
PROP000470,hni,online,1,2024-09-30,3
PROP000471,cxo,broker,1,2024-06-30,2
PROP000472,"startup founder",broker,1,2024-12-31,4
PROP000473,nri,broker,1,2024-03-31,1
PROP000474,other,direct,1,2024-06-30,2
PROP000475,cxo,online,1,2023-09-30,3
PROP000476,hni,"nri desk",1,2024-09-30,3
PROP000477,cxo,broker,1,2023-12-31,4
PROP000478,cxo,online,1,2023-09-30,3
PROP000479,nri,direct,1,2024-12-31,4
PROP000480,nri,direct,1,2024-12-31,4
PROP000481,nri,broker,1,2025-03-31,1
PROP000482,hni,broker,1,2024-03-31,1
PROP000483,hni,online,1,2023-12-31,4
PROP000484,other,direct,1,2024-03-31,1
PROP000485,"startup founder",broker,1,2024-12-31,4
PROP000486,other,"nri desk",1,2024-09-30,3
PROP000487,cxo,direct,1,2025-03-31,1
PROP000488,other,broker,1,2025-03-31,1
PROP000489,hni,broker,1,2023-12-31,4
PROP000490,cxo,direct,1,2024-06-30,2
PROP000491,hni,broker,1,2025-03-31,1
PROP000492,hni,"nri desk",1,2024-12-31,4
PROP000493,"startup founder","nri desk",1,2024-03-31,1
PROP000494,"startup founder",broker,1,2023-09-30,3
PROP000495,other,direct,1,2023-09-30,3
PROP000496,other,"nri desk",1,2024-12-31,4
PROP000497,other,direct,1,2024-12-31,4
PROP000498,other,broker,1,2023-09-30,3
PROP000499,hni,"nri desk",1,2023-06-30,2
PROP000500,hni,broker,1,2025-03-31,1
PROP000501,hni,"nri desk",1,2023-09-30,3
PROP000502,hni,online,1,2024-06-30,2
PROP000503,cxo,direct,1,2024-12-31,4
PROP000504,"startup founder",direct,1,2025-03-31,1
PROP000505,nri,direct,1,2023-12-31,4
PROP000506,"startup founder",broker,1,2024-06-30,2
PROP000507,"startup founder",online,1,2023-12-31,4
PROP000508,other,"nri desk",1,2024-03-31,1
PROP000509,hni,direct,1,2023-06-30,2
PROP000510,nri,online,1,2024-12-31,4
PROP000511,nri,online,1,2023-09-30,3
PROP000512,nri,broker,1,2024-12-31,4
PROP000513,hni,online,1,2024-09-30,3
PROP000514,other,online,1,2025-03-31,1
PROP000515,nri,broker,1,2024-03-31,1
PROP000516,other,online,1,2024-03-31,1
PROP000517,other,broker,1,2024-09-30,3
PROP000518,"startup founder",broker,1,2024-12-31,4
PROP000519,other,direct,1,2023-12-31,4
PROP000520,other,online,1,2025-03-31,1
PROP000521,cxo,direct,1,2024-12-31,4
PROP000522,cxo,"nri desk",1,2024-12-31,4
PROP000523,cxo,direct,1,2023-06-30,2
PROP000524,other,online,1,2023-06-30,2
PROP000525,"startup founder",broker,1,2024-12-31,4
PROP000526,hni,direct,1,2025-03-31,1
PROP000527,cxo,direct,1,2023-06-30,2
PROP000528,hni,"nri desk",1,2024-12-31,4
PROP000529,hni,online,1,2025-03-31,1
PROP000530,"startup founder",online,1,2024-06-30,2
PROP000531,other,broker,1,2024-09-30,3
PROP000532,other,direct,1,2023-06-30,2
PROP000533,nri,online,1,2024-09-30,3
PROP000534,hni,direct,1,2023-12-31,4
PROP000535,other,online,1,2024-03-31,1
PROP000536,nri,"nri desk",1,2025-03-31,1
PROP000537,other,online,1,2024-09-30,3
PROP000538,cxo,direct,1,2024-03-31,1
PROP000539,nri,direct,1,2024-12-31,4
PROP000540,hni,"nri desk",1,2023-09-30,3
PROP000541,nri,broker,1,2024-12-31,4
PROP000542,other,"nri desk",1,2023-06-30,2
PROP000543,hni,direct,1,2024-06-30,2
PROP000544,hni,direct,1,2024-06-30,2
PROP000545,other,"nri desk",1,2024-03-31,1
PROP000546,cxo,"nri desk",1,2024-03-31,1
PROP000547,hni,"nri desk",1,2023-12-31,4
PROP000548,cxo,online,1,2023-09-30,3
PROP000549,"startup founder","nri desk",1,2024-06-30,2
PROP000550,nri,"nri desk",1,2024-03-31,1
PROP000551,cxo,broker,1,2024-12-31,4
PROP000552,hni,online,1,2023-09-30,3
PROP000553,"startup founder",broker,1,2024-03-31,1
PROP000554,"startup founder","nri desk",1,2024-12-31,4
PROP000555,hni,"nri desk",1,2024-03-31,1
PROP000556,hni,"nri desk",1,2023-09-30,3
PROP000557,cxo,broker,1,2023-06-30,2
PROP000558,cxo,"nri desk",1,2023-12-31,4
PROP000559,other,direct,1,2023-12-31,4
PROP000560,nri,"nri desk",1,2025-03-31,1
PROP000561,hni,broker,1,2023-06-30,2
PROP000562,other,broker,1,2023-12-31,4
PROP000563,cxo,broker,1,2024-03-31,1
PROP000564,cxo,online,1,2023-09-30,3
PROP000565,cxo,online,1,2025-03-31,1
PROP000566,nri,online,1,2025-03-31,1
PROP000567,hni,broker,1,2025-03-31,1
PROP000568,"startup founder",online,1,2025-03-31,1
PROP000569,hni,broker,1,2023-09-30,3
PROP000570,other,broker,1,2024-12-31,4
PROP000571,other,online,1,2025-03-31,1
PROP000572,cxo,direct,1,2023-06-30,2
PROP000573,"startup founder","nri desk",1,2023-09-30,3
PROP000574,nri,"nri desk",1,2023-09-30,3
PROP000575,cxo,broker,1,2023-06-30,2
PROP000576,cxo,direct,1,2024-09-30,3
PROP000577,hni,"nri desk",1,2023-12-31,4
PROP000578,hni,broker,1,2023-06-30,2
PROP000579,nri,"nri desk",1,2023-12-31,4
PROP000580,nri,direct,1,2024-06-30,2
